Date,Open,High,Low,Close,Adj Close,Volume
2023-07-17,1346.150024,1363.000000,1339.500000,1342.949951,1342.949951,739899
2023-07-18,1346.400024,1368.050049,1338.550049,1346.150024,1346.150024,1011369
2023-07-19,1348.599976,1353.199951,1327.400024,1334.099976,1334.099976,810110
2023-07-20,1334.000000,1348.000000,1331.000000,1345.150024,1345.150024,898508
2023-07-21,1331.500000,1344.949951,1331.150024,1342.949951,1342.949951,768440
2023-07-24,1344.900024,1373.000000,1295.000000,1307.099976,1307.099976,2508323
2023-07-25,1333.000000,1388.449951,1313.650024,1384.000000,1384.000000,5467323
2023-07-26,1393.000000,1400.900024,1365.400024,1372.050049,1372.050049,1745448
2023-07-27,1376.000000,1377.949951,1346.199951,1355.800049,1355.800049,991461
2023-07-28,1355.800049,1370.699951,1345.449951,1357.849976,1357.849976,722899
2023-07-31,1354.000000,1379.449951,1347.300049,1376.699951,1376.699951,771838
2023-08-01,1375.000000,1379.300049,1359.050049,1369.699951,1369.699951,325587
2023-08-02,1375.000000,1396.000000,1362.550049,1379.750000,1379.750000,1941995
2023-08-03,1381.949951,1391.400024,1354.400024,1363.250000,1363.250000,1042110
2023-08-04,1372.000000,1384.949951,1346.449951,1358.800049,1358.800049,539333
2023-08-07,1357.400024,1357.400024,1331.650024,1340.300049,1340.300049,866160
2023-08-08,1344.900024,1345.250000,1318.300049,1331.550049,1331.550049,1246084
